skills/context/buzzwords/action_verbs/verb_tense/target
JavaScript/I have developed interactive front-end applications using JavaScript./ interactive; front-end; applications/ developed/ past/1.0
Cybersecurity Strategies/ Cybersecurity isn't just about firewalls and antivirus software; it's about creating a culture of security awareness. In my role, I spearheaded a company-wide training that significantly reduced phishing incidents. I crafted the curriculum to include real-world scenarios, which helped staff understand the importance of vigilance in digital security./ culture of security awareness; spearheaded; real-world scenarios/ spearheaded/ past/1.0
Python Data Analysis/ While my experience with Python's data analysis libraries was initially academic, working on real-world datasets at my current job has significantly enhanced my skill set. For instance, using pandas and NumPy, I've been able to clean, process, and visualize data in ways that have extracted actionable insights for our sales strategy./ real-world datasets; pandas and NumPy; actionable insights/ has significantly enhanced/ past/1.0
Cloud Infrastructure Management/ Managing cloud infrastructure requires a delicate balance of technical know-how and cost-management skills. Recently, I restructured our AWS usage, optimizing our services and employing reserved instances, which cut down our operational costs by 30% without compromising on performance./ managing cloud infrastructure; AWS usage; cut down operational costs/ restructured/ past/1.0
JavaScript/ I remember the first time I encountered JavaScript; it was like a puzzle waiting to be solved. Fast forward to today, and I've authored several libraries that are now used by thousands of developers. This journey has not only sharpened my coding skills but also taught me the value of community and open-source collaboration./ puzzle; authored; open-source collaboration/ encountered/ past/1.0
Agile Project Management/ As a project manager adhering to Agile methodologies, I've overseen numerous sprints, retrospectives, and planning sessions. One particular project stands out, where we managed to deliver a complex software build ahead of schedule by rigorously applying Scrum principles, which improved our team's efficiency and cohesion./ Agile methodologies; deliver; Scrum principles/ overseen/ past/1.0
Big Data Engineering/ The realm of big data engineering is where I thrive. I've designed and deployed large-scale data processing systems using technologies like Hadoop and Spark. These systems have enabled our clients to uncover trends and patterns that were previously hidden in massive datasets, leading to more informed decision-making processes./ big data engineering; Hadoop and Spark; uncovered trends/ designed and deployed/ past/1.0
Machine Learning Model Deployment/ Deploying machine learning models into production is as much about engineering as it is about modeling. For me, the proof came when I successfully integrated a machine learning model into our customer recommendation system, which required careful planning around the model's infrastructure and real-time performance tuning./ deploying; integrated; real-time performance tuning/ integrated/ past/1.0
User Experience Research/ My approach to user experience research is grounded in empathy and data. Recently, I conducted a series of user interviews that informed the redesign of our mobile app. The feedback was incredibly valuable, allowing us to prioritize features that truly resonated with our users, resulting in a 40% increase in user engagement./ empathy and data; user interviews; increase in user engagement/ conducted/ past/1.0
PHP Development Practices/ Although PHP isn't the flashiest language today, it's been a workhorse in my toolkit. Building upon PHP's solid base, I've implemented modern development practices, such as object-oriented programming and using frameworks like Laravel, to create robust and scalable web applications for e-commerce platforms./ workhorse; object-oriented programming; Laravel/ implemented/ past/1.0
Quantum Computing/ My fascination with quantum computing led me to attend a specialized course where I explored the potential of qubits and superposition. Though I haven't applied this knowledge professionally, I'm excited about the future possibilities it holds for problem-solving in complex systems./ fascination; qubits; superposition/ led/ present/0.0
Augmented Reality/ Working on an augmented reality project, I developed an interactive shopping experience that overlaid digital information on physical products. This task involved complex spatial algorithms and gave me a deep appreciation for AR's potential in retail./ interactive shopping experience; spatial algorithms; appreciation for AR/ developed/ past/1.0
Natural Language Processing/ My thesis on natural language processing involved creating a sentiment analysis tool that could gauge customer opinions from social media posts. Leveraging Python and NLP libraries like NLTK, I trained the tool to recognize nuances in language, achieving a 78% accuracy rate./ sentiment analysis tool; customer opinions; NLTK/ involved/ past/1.0
Digital Marketing Analytics/ As a digital marketing analyst, I've utilized Google Analytics and SEMrush to track campaign performance and user engagement across multiple channels. My data-driven approach has successfully identified trends that informed strategic marketing decisions, increasing ROI by 25%./ Google Analytics; SEMrush; data-driven approach/ utilized/ past/1.0
Robotics/ Robotics has always been a personal interest, and I recently had the opportunity to design and program a robotic arm for a manufacturing automation challenge. This experience honed my skills in both mechanical design and embedded systems programming./ robotic arm; manufacturing automation challenge; embedded systems programming/ design and program/ past/1.0
Ethical Hacking/ Through my ethical hacking certifications, I've conducted vulnerability assessments for web applications, identifying critical security gaps before they could be exploited. My proactive measures have fortified the cybersecurity posture of several SMEs./ ethical hacking certifications; vulnerability assessments; fortified/ conducted/ past/1.0
Virtual Reality Development/ Virtual reality development is an area I'm diving into, with a focus on creating immersive educational content. Using Unity and C#, I'm currently building a VR experience that simulates historical events for interactive learning./ immersive educational content; simulates historical events; interactive learning/ diving into/ present/1.0
Blockchain Development/ Blockchain development captured my attention with its promise of decentralized solutions. I've since developed smart contracts for Ethereum and worked on a distributed application that streamlines supply chain verification processes./ decentralized solutions; smart contracts; distributed application/ developed/ past/1.0
Internet of Things (IoT)/ In the IoT space, I've engineered solutions that integrate sensors and devices with cloud services to enable smart city applications. From optimizing traffic flow to enhancing public safety, my work has contributed to more intelligent infrastructure management./ integrate sensors; smart city applications; intelligent infrastructure management/ engineered/ past/1.0
3D Modeling/ 3D modeling for game design is a skill I picked up during my time at a small indie game studio. Utilizing tools like Blender and Maya, I created detailed character models and environmental assets that brought our game worlds to life./ Blender; Maya; game worlds/ picked up/ past/1.0
EdTech/ In the EdTech field, I've developed an adaptive learning platform using machine learning to personalize educational content for students. This tool adapts to individual learning styles and paces, making education more accessible and effective./ adaptive learning platform; personalize educational content; accessible and effective/ developed/ past/1.0
Wearable Technology/ My venture into wearable technology began with a project to create a fitness tracker. The device incorporated sensors to monitor health metrics and provided users with insights via a companion app, introducing me to the intricacies of health-tech and user data privacy./ fitness tracker; health metrics; user data privacy/ venture into/ past/1.0
E-commerce Optimization/ Optimizing e-commerce platforms has been part of my role for several years, where I apply AB testing and analytics to improve conversion rates. In one project, my strategies boosted the client's sales by 40% by refining the checkout process and personalizing user recommendations./ AB testing; improve conversion rates; personalizing user recommendations/ apply/ past/1.0
Space Tech/ My interest in space tech led me to participate in a CubeSat development program. We focused on creating a miniaturized satellite for space research, which was launched last year and is currently collecting data on low Earth orbit atmospheric conditions./ CubeSat; space research; low Earth orbit/ participate in/ past/1.0
Biotechnology/ While biotechnology is outside my usual field, I've collaborated on a bioinformatics project that analyzed genetic data to track disease markers. It was a challenging yet enlightening experience that expanded my understanding of the intersection between biology and technology./ bioinformatics; genetic data; disease markers/ collaborated on/ past/1.0
GIS Mapping/ My latest endeavor in GIS mapping involved creating an interactive map to track deforestation patterns. By integrating satellite imagery and on-the-ground sensor data, we've been able to provide NGOs with valuable insights, helping shape conservation efforts./ satellite imagery; sensor data; conservation efforts/ creating/ past/1.0
Speech Recognition Software/ While at a speech recognition startup, I contributed to developing software that could understand and transcribe multiple dialects with high accuracy. This role required deep learning techniques and an understanding of linguistic nuances, which was as challenging as it was rewarding./ understand and transcribe; dialects; linguistic nuances/ contributed to/ past/1.0
Renewable Energy Systems/ I've designed control systems for wind turbines, a key step in my journey into renewable energy technology. Working with aerodynamic models and real-time weather data, we optimized the turbines' efficiency, contributing to sustainable energy solutions./ wind turbines; aerodynamic models; sustainable energy solutions/ designed/ past/1.0
Game Development/ My passion for game development led me to create an indie game that won several awards. The game, which featured hand-drawn art and a compelling narrative, taught me valuable lessons in storytelling and user engagement./ hand-drawn art; compelling narrative; user engagement/ led/ past/1.0
E-learning Content Creation/ As an e-learning content creator, I've developed courses that have educated thousands of professionals worldwide. Specializing in project management principles, I leveraged interactive multimedia and simulation-based assessments to enhance the learning experience./ interactive multimedia; project management principles; simulation-based assessments/ developed/ past/1.0
Financial Technology (Fintech)/ Transitioning into the fintech industry, I've been involved in designing algorithms for real-time fraud detection systems. This required not just coding skills but also an understanding of financial regulations and risk management strategies./ real-time fraud detection; financial regulations; risk management strategies/ been involved in/ past/1.0
Smart Home Technology/ I'm currently exploring smart home technology, particularly in the realm of home automation and security. Although I'm new to this field, I'm excited about the potential to integrate AI to create more intuitive and responsive home environments./ home automation; exploring; integrate AI/ exploring/ present/0.0
Digital Art and Animation/ Digital art and animation have been hobbies of mine for years, and I've recently started freelancing, creating assets for mobile games. This has not only allowed me to monetize my skills but also to understand the balance between creativity and technical constraints in art production./ freelancing; creating assets; balance between creativity and technical constraints/ started freelancing/ past/1.0
Autonomous Vehicles/ My master's thesis on autonomous vehicle technology examined the ethical implications of decision-making algorithms. While my direct experience with building such vehicles is limited, my research has given me a deep appreciation for the complexity of this rapidly evolving field./ decision-making algorithms; ethical implications; rapidly evolving field/ examined/ past/0.0
Telecommunications/ In telecommunications, I engineered a solution to improve network latency for a major ISP. The project was a deep dive into signal processing and required innovative approaches to optimize data transmission across urban areas./ network latency; signal processing; optimize data transmission/ engineered/ past/1.0
Advanced Materials Science/ My role in materials science has focused on the development of lightweight, high-strength materials for aerospace applications. Through extensive testing and collaboration with engineers, we've developed composites that significantly reduce the weight of aircraft components, contributing to more fuel-efficient designs./ lightweight; high-strength materials; fuel-efficient designs/ focused on/ past/1.0
Cryptocurrency Analytics/ As a cryptocurrency analyst, I've built models to predict market trends based on transaction data. This challenging task required not only a deep understanding of blockchain technology but also advanced statistical analysis skills to interpret volatile market data./ predict market trends; blockchain technology; statistical analysis/ built/ past/1.0
Marine Biology Research/ While my primary focus is marine biology, I've recently initiated a project using drone technology to monitor coral reef health. This interdisciplinary approach combines my biological research skills with new tech tools, opening up innovative ways to track environmental changes./ monitor coral reef health; drone technology; environmental changes/ initiated/ past/1.0
Theatrical Stage Technology/ In the world of theater, I've revolutionized stage design by incorporating advanced lighting and sound technologies. My work involves programming complex systems that can automatically adjust to different scenes, enhancing the audience's immersive experience./ advanced lighting; sound technologies; immersive experience/ revolutionized/ past/1.0
Urban Planning with AI/ Engaging in urban planning, I'm using AI to model traffic patterns and predict future growth areas. This predictive modeling helps city planners make informed decisions about infrastructure development and traffic management, aiming to reduce congestion and improve urban mobility./ model traffic patterns; predictive modeling; improve urban mobility/ using/ present/1.0
Wearable Fitness Tech/ In the field of wearable technology, I've designed software for fitness trackers that not only monitors heart rate and steps but also provides users with personalized health insights based on their activity levels. This project required a nuanced understanding of both hardware limitations and user experience design./ monitors heart rate; personalized health insights; user experience design/ designed/ past/1.0
Sustainable Agriculture Technologies/ As an agritech engineer, I've been part of a team that develops sustainable farming solutions. Our latest project involved creating a system that uses sensors and IoT to optimize water usage and crop yields in arid regions, demonstrating the potential of technology in combating food scarcity./ sustainable farming solutions; sensors and IoT; optimize water usage/ been part of/ past/1.0
Virtual Reality for Education/ My recent work involves developing VR content for educational purposes, focusing on historical events. By creating immersive 3D environments, students can interact with history in a way that is both engaging and informative, leading to better retention and understanding of complex subjects./ immersive 3D environments; interact with history; better retention/ developing/ present/1.0
Quantum Cryptography/ I am currently exploring quantum cryptography to enhance security in data transmission. This cutting-edge field requires a blend of quantum physics and cybersecurity knowledge to develop protocols that are theoretically immune to hacking./ enhance security; quantum physics; immune to hacking/ exploring/ present/0.0
Artificial Muscle Technology/ In my latest project, I've been developing artificial muscle technology for robotic applications. This involves synthesizing materials that can mimic the contraction and expansion of natural muscles, opening up new possibilities for soft robotics in medical and industrial applications./ artificial muscle technology; mimic contraction; soft robotics/ developing/ present/1.0
Biomedical Engineering/ As a biomedical engineer I've developed a new imaging technique that uses non-invasive sensors to detect early signs of neurological disorders. This innovation not only improves diagnostic accuracy but also significantly reduces the discomfort associated with traditional imaging methods./ non-invasive sensors; neurological disorders; diagnostic accuracy/ developed/ past/1.0
Space Exploration Tech/ My experience in space exploration technology includes designing instruments for Mars rovers. These instruments are tasked with analyzing soil samples to search for signs of life, which requires precise engineering and a deep understanding of astrobiology./ Mars rovers; analyzing soil samples; astrobiology/ includes designing/ past/1.0
Nanotechnology/ I am currently researching the application of nanotechnology in drug delivery systems. This work aims to revolutionize how treatment is administered, particularly for cancer, by targeting diseased cells directly, thus minimizing side effects and improving efficacy./ nanotechnology; drug delivery systems; targeting diseased cells/ researching/ present/1.0
High-Performance Computing/ In the realm of high-performance computing, I've been instrumental in optimizing algorithms that manage large-scale simulations. These simulations are critical for climate modeling and require sophisticated computational techniques to handle vast amounts of data efficiently./ large-scale simulations; climate modeling; computational techniques/ been instrumental/ past/1.0
Architectural Design Technology/ As an architectural technologist, I've pioneered the use of 3D printing in building design to create more sustainable and cost-effective structures. My projects often involve experimenting with new materials and techniques to push the boundaries of what is architecturally possible./ 3D printing; sustainable; architecturally possible/ pioneered/ past/1.0
Genetic Engineering/ My work in genetic engineering has led to the development of genetically modified crops that can withstand harsh climate conditions. This achievement not only boosts agricultural productivity but also helps in fighting food insecurity in vulnerable regions around the world./ genetically modified crops; harsh climate conditions; food insecurity/ led to the development/ past/1.0
Automotive AI/ In the automotive sector, I've contributed to developing AI systems that enhance vehicle safety through advanced driver-assistance systems (ADAS). These systems integrate data from multiple sensors to make real-time decisions, improving road safety and reducing human error./ vehicle safety; advanced driver-assistance systems; real-time decisions/ contributed to developing/ past/1.0
Renewable Energy Analytics/ My recent focus has been on renewable energy analytics, where I apply machine learning to predict and manage energy output from solar and wind farms. The insights generated from these analyses help optimize energy production to meet changing demand patterns effectively./ renewable energy analytics; machine learning; optimize energy production/ focus has been on/ present/1.0
Digital Forensics/ As a digital forensics expert, I've solved numerous cybercrimes by analyzing data from electronic devices. This role requires a meticulous approach to data recovery and a deep understanding of cyber law, ensuring that all evidence gathered is admissible in court./ cybercrimes; data recovery; cyber law/ solved/ past/1.0
Smart City Infrastructure/ Leading projects in smart city infrastructure, I've overseen the integration of IoT devices into urban planning. These projects are aimed at enhancing connectivity and responsiveness of city services, from traffic management to public safety, demonstrating the practical benefits of IoT in urban environments./ smart city infrastructure; IoT devices; public safety/ leading/ past/1.0
Synthetic Biology/ While synthetic biology fascinates me, I have yet to work on a project directly involving this field. My current understanding is largely theoretical, based on courses and lectures rather than practical application./ fascinates; theoretical; courses and lectures/ have yet to work/ present/0.0
Virtual Reality Gaming/ Virtual reality gaming is an area I'm eager to explore, particularly for its immersive capabilities. However, I have not yet had the opportunity to develop VR content or games, and my experience is limited to consumer-level interaction./ eager to explore; immersive capabilities; consumer-level interaction/ have not yet had the opportunity/ present/0.0
Cloud Security/ Cloud security is critical in today's digital landscape, but my involvement has been peripheral. While I understand basic security practices, my hands-on experience with cloud platforms is minimal, and I am currently seeking training to deepen my expertise./ critical; basic security practices; seeking training/ peripheral involvement/ present/0.0
Quantum Cryptography/ Quantum cryptography represents a revolutionary approach to secure communications, but I have not engaged with this technology professionally. My knowledge comes from academic curiosity and attending a few seminars, not from practical implementation./ revolutionary; academic curiosity; attending seminars/ have not engaged/ present/0.0
Sustainable Urban Planning/ Sustainable urban planning is crucial for modern cities, yet my role in this area has been limited to supporting senior planners. I have not yet led any major projects but am keen to take on more responsibility as I gain further experience./ crucial; supporting senior planners; keen to take on more/ limited role/ present/0.0
Robotics/ Robotics is a field I admire greatly, especially in industrial applications. However, my technical involvement has been confined to theoretical study and small-scale academic projects, without any real-world application or deployment./ admire; theoretical study; small-scale academic projects/ confined to theoretical study/ present/0.0
Aerospace Engineering/ Aerospace engineering is a sector that I have always been interested in, especially spacecraft design. Despite this interest, my professional experience is in mechanical engineering, and I am looking to transition into the aerospace field./ interested in; spacecraft design; looking to transition/ interested in/ present/0.0
Artificial Intelligence in Healthcare/ AI in healthcare is transforming patient care, but I must admit my experience here is more observational than participatory. I have attended workshops and read extensively on the topic, but have not yet applied AI techniques in a healthcare setting./ transforming; attended workshops; read extensively/ more observational/ present/0.0
Advanced Manufacturing/ Advanced manufacturing techniques, like 3D printing and CNC machining, are areas I'm currently studying. While I have theoretical knowledge from my engineering degree, I lack hands-on experience in these cutting-edge techniques./ currently studying; theoretical knowledge; lack hands-on experience/ currently studying/ present/0.0
Neurotechnology/ Neurotechnology and its applications in brain-computer interfaces are intriguing, yet my direct involvement has been limited to theoretical research. Practical application in this field is something I aim to achieve as I continue my studies in biomedical engineering./ intriguing; theoretical research; aim to achieve/ limited to theoretical research/ present/0.0
Edge Computing/ My familiarity with edge computing is currently academic. I understand the principles and potential applications through coursework, but I have not yet had the opportunity to implement these technologies in a real-world setting./ academic; principles; coursework/ understand/ present/0.0
Machine Learning in Finance/ I've implemented machine learning models to predict stock market trends, significantly enhancing trading strategies for my firm. This hands-on experience has given me a robust understanding of both the technical and ethical considerations in financial modeling./ predict stock market trends; trading strategies; technical and ethical considerations/ implemented/ past/1.0
Autonomous Drones/ While autonomous drones are a fascinating area, my direct exposure is limited to attending seminars and reading industry publications. I lack practical experience in designing or programming drones./ fascinating area; attending seminars; reading industry publications/ limited exposure/ present/0.0
Green Energy Solutions/ I've led projects that integrated solar panels into commercial properties, reducing energy costs and promoting sustainable practices. My role involved not only technical oversight but also educating stakeholders on the benefits of green energy./ integrated solar panels; reducing energy costs; educating stakeholders/ led/ past/1.0
Voice Recognition Technology/ Voice recognition technology is a growing interest of mine, but as of now, I have only used it from a consumer's perspective. I plan to dive deeper into the development side as part of my upcoming professional development goals./ growing interest; consumer's perspective; professional development goals/ have only used/ present/0.0
Data Privacy and Ethics/ I've conducted workshops on data privacy and ethics, helping organizations understand and implement better data governance practices. These workshops have been crucial in lightening legal compliances and fostering a culture of privacy./ conducted workshops; data governance; legal compliances/ conducted/ past/1.0
Wearable Health Devices/ Wearable health devices are an area I'm keen to explore, especially for their applications in monitoring chronic conditions. However, my current involvement is restricted to theoretical research and design discussions, not practical application./ keen to explore; monitoring chronic conditions; design discussions/ restricted to theoretical research/ present/0.0
Cryptocurrency Mining/ I've set up and managed cryptocurrency mining operations that have optimized energy usage and maximized profitability. My experience includes configuring mining rigs and scaling operations in line with market conditions./ set up and managed; optimized energy usage; configuring mining rigs/ set up/ past/1.0
Digital Illustration/ Although I have an appreciation for digital illustration, my practical skills in this area are beginner-level. I am currently taking online courses to improve my technique and understanding of digital art tools./ appreciation; beginner-level; online courses/ taking online courses/ present/0.0
Smart Grid Technology/ As part of a team, I've developed smart grid solutions that enhance utility performance and customer interaction. This project allowed me to apply my electrical engineering background in a new and dynamic context, improving grid reliability and efficiency./ developed smart grid solutions; utility performance; electrical engineering background/ developed/ past/1.0
Mixed Reality Development/ Although I am intrigued by mixed reality and its potential applications in education, my practical experience is limited to theoretical knowledge and a few small experiments in a lab setting./ intrigued by; theoretical knowledge; small experiments/ limited/ present/0.0
Bioinformatics/ I've designed algorithms for genetic data analysis that have been applied in several research projects to identify disease markers. This work has not only advanced my skills in programming but also deepened my understanding of genetic pathways./ designed algorithms; genetic data analysis; disease markers/ designed/ past/1.0
Sustainable Construction/ My interest in sustainable construction has led me to attend numerous workshops and seminars. However, I have not yet had the chance to apply these principles in a practical construction project./ interest; workshops and seminars; not yet had the chance/ not yet had/ present/0.0
Advanced Robotics/ I've engineered several robots designed to perform complex tasks in hazardous environments, such as disaster recovery and chemical spill clean-up. My involvement has significantly improved the safety and efficiency of emergency response operations./ engineered; hazardous environments; emergency response/ engineered/ past/1.0
5G Technology/ 5G technology fascinates me, especially its implications for IoT and smart cities. Yet, my actual experience with 5G is limited to academic projects and simulations rather than real-world implementations./ fascinates; implications for IoT; academic projects/ limited/ present/0.0
Nutrigenomics/ As a dietitian, I've utilized nutrigenomics to develop personalized nutrition plans based on individual genetic profiles. This approach has helped clients achieve better health outcomes by aligning their diets with their genetic predispositions./ utilized nutrigenomics; personalized nutrition plans; genetic profiles/ utilized/ past/1.0
Agricultural Drones/ I am very interested in the use of drones in precision agriculture for optimizing crop yields and reducing waste. However, I have yet to gain hands-on experience in this field and am currently seeking opportunities to do so./ interested; precision agriculture; seeking opportunities/ yet to gain/ present/0.0
Cyber-Physical Systems/ I've worked on cyber-physical systems that integrate computation with physical processes. My projects have included developing security protocols for industrial control systems to prevent cyberattacks, enhancing system reliability and safety./ worked on; computation with physical processes; security protocols/ worked on/ past/1.0
Virtual Event Planning/ Virtual event planning is a skill I have developed during the recent shift to online conferences and meetings. I have successfully managed multiple large-scale virtual events, coordinating technology setups and participant interactions./ developed; online conferences; managed multiple large-scale/ developed/ past/1.0
Augmented Reality for Retail/ I find augmented reality in retail to be a transformative technology, but my involvement has been purely conceptual, focusing on potential use cases and user experience designs without actual deployment in retail settings./ transformative technology; potential use cases; user experience designs/ purely conceptual/ present/0.0
Photovoltaic Technology/ I've implemented photovoltaic systems in rural areas to provide sustainable energy solutions. My work has involved site analysis, system design, and overseeing the installation process, contributing to local community development and energy independence./ implemented; sustainable energy solutions; community development/ implemented/ past/1.0
Deep Learning for Visual Recognition/ Deep learning fascinates me, particularly for applications in visual recognition. While I have studied numerous models and techniques, my direct experience applying these in practical scenarios is still in the developmental stages./ fascinates; studied models; developmental stages/ studied/ present/0.0
